round,has_attacker,trusted_krum_s,adv_krum_s_avg,ben_krum_s_avg,adv_krum_s,ben_krum_s
1,True,4.557262224824857,6.4960022835529045,8.551010757655439,[6.66439173 5.40042446 6.62440343 7.29478951],[ 6.10733014  8.33511513  4.55726222  6.27091199 20.48545445  5.54999061]
2,True,3.4579911451000456,14.283253455219489,4.8764617607024725,[ 7.92934558 20.63716133],"[3.45799115 4.41958498 4.91673234 4.87483378 4.12497317 3.9223294
 9.66572792 3.62952135]"
3,True,4.200024235916128,6.843584024056066,8.424241166399307,[9.39971372 6.6160475  6.06109977 5.29747511],[ 4.95035748  4.44938633  5.1238021  23.71353162  4.20002424  8.10834523]
4,True,4.1066324074493465,14.002206740170367,6.26020641805206,[11.08637275 22.93129605  7.98895142],"[4.9459792  4.10663241 7.72481672 7.06711529 7.38331109 6.59685314
 5.99673708]"
5,True,3.7950201919759934,10.15612854731664,5.463078946281706,[ 6.37009963  5.80293268  7.24618574 24.58481949  6.7766052 ],[4.14602913 5.78551618 7.13509192 6.45373731 3.79502019]
6,True,6.851692831982383,20.668154513752746,8.195164705149871,[25.1305991   7.78566467 21.73083186 28.02552243],[9.24985166 8.20670262 7.46722347 6.85169283 9.16288342 8.23263423]
7,True,6.5812457708735685,9.557517711176128,10.145179388868886,[ 9.46734225 10.78778585  8.41742504],"[23.86765093  7.85549719  8.90781919  7.25820916  7.50624306  9.03959042
  6.58124577]"
8,False,4.70301474087686,8.983129277169445,6.104424623498025,[ 8.7835864  10.01083122  8.15497021],"[6.64438597 7.33508118 4.83539628 6.06542649 7.34906825 5.79859945
 4.70301474]"
9,True,5.23740033016038,8.937884095500088,9.97115289987326,[ 6.68773159 10.7649864   9.36093429],"[10.99525526  6.41344202  6.19407202  6.50719168 26.90220555  7.54850343
  5.23740033]"
10,True,5.578348328791073,10.892187307812428,7.025262204727899,[ 5.71546859 28.09405462  6.97649667 10.04802342  7.235873    7.28320753],[7.19965943 6.1673518  5.57834833 9.15568927]
11,True,3.626976326936159,7.328573003640788,8.437280453762215,[ 7.75977434 10.04839117  6.25284145  5.25328506],[ 4.6074797   4.21814487  6.41501119 26.24876726  3.62697633  5.50730337]
12,True,6.359355694340014,16.553078187461875,9.427688562869367,[ 9.95099512 33.01148224  6.69675721],"[ 6.35935569  7.40534893  7.89682066 15.44606683  9.54881691 11.68782442
  7.64958648]"
13,False,4.90475214319596,9.658302197520626,6.529336762998284,[ 9.34118503 14.44526265  8.25033349  6.59642763],[6.03170821 8.0840266  5.76856726 6.44619864 7.94076773 4.90475214]
