flr,attacker_idxs,pred_idxs_1,pred_idxs_2,true_positive_1,true_positive_2,false_negative_1,false_negative_2,false_positive_1,false_positive_2,missed_idxs_1,missed_idxs_2,freq,t_score,num_dps,saved_pairwise_sim
1,[4],"[0, 4, 5, 7, 9]",[],1.0,0.0,0.0,1.0,0.4444444444444444,0.0,[],[4],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.45719225]
 [0.18094729]
 [0.00587337]
 [0.        ]
 [1.        ]
 [0.72115209]
 [0.00371949]
 [0.34109956]
 [0.22717831]
 [0.25350081]]","[321, 398, 169, 285, 600, 321, 201, 250, 313, 285]","[[1.         0.7339245  0.12673458 0.03241652 0.79390386 0.24250731
  0.43300303 0.         0.12630766 0.63664976 1.         0.94052715
  0.69088807 0.62461126 0.82571765 0.52825148 0.77774168 0.59059811
  0.63466244 0.66702013]
 [0.72841246 1.         0.3083851  0.30040036 0.86010091 0.
  0.73316502 0.09132854 0.06033729 0.29408033 0.9150035  1.
  0.54424474 0.58530521 0.88107353 0.32579367 0.74535179 0.45001933
  0.44746333 0.42065519]
 [0.12187126 0.31864834 1.         0.70542129 0.31401959 0.37075828
  0.78673587 0.85026749 0.54141288 0.05845278 0.70663509 0.6973492
  1.         0.8578812  0.55228365 0.59840762 0.92469127 0.91388063
  0.77045971 0.41036137]
 [0.20736455 0.43852597 0.76002032 1.         0.35514432 0.19946062
  0.59301605 0.57692271 0.53199456 0.23296491 0.4784431  0.59684991
  0.79194431 1.         0.41431521 0.34456292 0.72327045 0.71386036
  0.64278231 0.25420524]
 [0.78105479 0.85439525 0.27528811 0.16373661 1.         0.11162002
  0.65394198 0.08227392 0.         0.34491145 0.6305609  0.82360523
  0.         0.10642103 1.         0.         0.47180882 0.
  0.         0.        ]
 [0.22681506 0.         0.36128    0.00252367 0.14643204 1.
  0.11990207 0.60030197 0.6829982  0.70463639 0.         0.
  0.10302051 0.         0.         1.         0.         0.58275131
  0.68602268 0.57380458]
 [0.39444926 0.72080505 0.77349614 0.46940639 0.65210107 0.0791352
  1.         0.60584185 0.25756629 0.         0.72005465 0.77557378
  0.90005337 0.74912909 0.68615376 0.4058094  1.         0.81962414
  0.59231133 0.21344478]
 [0.         0.1097706  0.85109681 0.48354246 0.13613184 0.60841409
  0.63093684 1.         0.75313304 0.18036378 0.3529233  0.39176547
  0.85657846 0.67449063 0.25438185 0.6888918  0.77365594 1.
  0.78923465 0.27363414]
 [0.07183726 0.02201399 0.51552036 0.39307999 0.         0.67006951
  0.26149494 0.73774205 1.         0.58912313 0.31662357 0.27682316
  0.54759    0.51907409 0.11757821 0.72293957 0.39454888 0.7505641
  1.         0.68711077]
 [0.61194327 0.26138156 0.         0.         0.34142656 0.69095491
  0.         0.12463141 0.5869374  1.         0.52300049 0.41929603
  0.1099929  0.23104873 0.32421197 0.71198224 0.10543081 0.34166121
  0.76037899 1.        ]]"
2,[7],"[1, 2, 4, 7, 9]",[0 3 6 7 8],1.0,1.0,0.0,0.0,0.4444444444444444,0.4444444444444444,[],[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.11166956]
 [1.        ]
 [0.46800296]
 [0.        ]
 [0.56249629]
 [0.27386776]
 [0.2338358 ]
 [0.5106811 ]
 [0.37728366]
 [0.63826133]]","[231, 443, 151, 230, 224, 126, 292, 600, 275, 375]","[[1.00000000e+00 8.69044701e-02 4.26325769e-02 6.15599091e-01
  1.41077781e-01 2.83616794e-01 6.02185805e-01 4.54770595e-01
  7.69908310e-01 5.42673602e-01 1.00000000e+00 1.75572655e-01
  1.95260901e-02 7.97529972e-01 2.82779946e-01 4.97771517e-01
  7.26799523e-01 5.99549590e-01 8.29867352e-01 6.14316871e-01]
 [1.71911273e-02 1.00000000e+00 6.72276867e-01 0.00000000e+00
  6.48060126e-01 4.84444452e-01 0.00000000e+00 0.00000000e+00
  7.05233453e-02 5.14663283e-01 0.00000000e+00 1.00000000e+00
  6.26673411e-02 0.00000000e+00 4.22382712e-01 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 3.36869967e-01]
 [0.00000000e+00 6.81964543e-01 1.00000000e+00 2.46606224e-01
  3.98801857e-01 4.83778292e-01 2.35601484e-01 5.09333683e-01
  0.00000000e+00 1.12236265e-01 5.62883435e-01 6.55485615e-01
  1.00000000e+00 7.02485913e-01 7.03972700e-01 7.77028274e-01
  7.16401584e-01 7.35622161e-01 5.08844673e-01 5.06414442e-01]
 [5.86250714e-01 0.00000000e+00 2.23657194e-01 1.00000000e+00
  1.35874335e-01 1.99184015e-01 7.16850191e-01 8.30855534e-01
  5.94154177e-01 1.91693374e-01 8.44815217e-01 3.68111023e-01
  4.88512880e-01 1.00000000e+00 6.56669509e-01 7.77259824e-01
  8.70594091e-01 8.27901111e-01 8.22455784e-01 6.63811197e-01]
 [1.75250215e-01 6.86033006e-01 4.47331551e-01 2.29109976e-01
  1.00000000e+00 5.24282453e-01 3.09742487e-01 4.37010832e-02
  3.08943779e-01 4.81551687e-01 5.99301241e-01 7.33953136e-01
  6.29032286e-01 7.49741086e-01 1.00000000e+00 7.85148879e-01
  6.84054796e-01 5.39406334e-01 6.35254638e-01 7.72400847e-01]
 [3.77116640e-01 5.83529805e-01 5.70289208e-01 3.53093939e-01
  5.69233318e-01 1.00000000e+00 4.41515647e-01 3.08746277e-01
  1.71166359e-01 9.91310390e-02 7.76523601e-01 6.33154908e-01
  7.77454459e-01 8.70687505e-01 8.28879368e-01 1.00000000e+00
  8.25822532e-01 6.64798360e-01 6.96159914e-01 6.87127186e-01]
 [5.86650971e-01 3.46521361e-02 2.39612146e-01 7.26661984e-01
  2.53070783e-01 3.32599775e-01 1.00000000e+00 6.73542822e-01
  7.23884148e-01 0.00000000e+00 7.53026329e-01 2.54716351e-01
  4.24941824e-01 8.47371751e-01 4.88771097e-01 6.46140505e-01
  1.00000000e+00 7.40116617e-01 8.33952582e-01 3.41422274e-01]
 [4.52538031e-01 6.71284272e-02 5.28328537e-01 8.42209991e-01
  0.00000000e+00 2.01728099e-01 6.84525513e-01 1.00000000e+00
  3.78216377e-01 6.22605562e-04 5.14268404e-01 0.00000000e+00
  2.80697721e-01 7.27643786e-01 0.00000000e+00 8.62583490e-02
  6.51296008e-01 1.00000000e+00 4.39781526e-01 0.00000000e+00]
 [7.59662085e-01 9.79990598e-02 0.00000000e+00 6.06151147e-01
  2.48262244e-01 4.30258665e-03 7.22427727e-01 3.53176276e-01
  1.00000000e+00 5.69354372e-01 8.45570585e-01 2.51667249e-01
  0.00000000e+00 7.89738140e-01 4.07393282e-01 3.80192096e-01
  8.33273249e-01 5.80770168e-01 1.00000000e+00 6.47270945e-01]
 [5.58606438e-01 5.64798864e-01 1.79694215e-01 2.75191946e-01
  4.78881111e-01 0.00000000e+00 7.11126812e-02 3.93735611e-02
  6.02077580e-01 1.00000000e+00 7.69250536e-01 6.72914611e-01
  3.37613794e-01 7.37575178e-01 7.56266555e-01 5.79324167e-01
  5.64139120e-01 5.06755278e-01 7.67507510e-01 1.00000000e+00]]"
3,[],"[1, 2, 6, 7, 8]",[1 2 6],0.0,0.0,1.0,1.0,0.5,0.3,[],[],"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1]","[[0.0316794 ]
 [1.        ]
 [0.9412878 ]
 [0.11953619]
 [0.1660997 ]
 [0.17358604]
 [0.70461559]
 [0.52204348]
 [0.33426717]
 [0.        ]]","[110, 257, 294, 286, 341, 265, 282, 284, 313, 193]","[[1.00000000e+00 2.02304668e-01 0.00000000e+00 5.73417674e-01
  7.25544231e-01 8.99240631e-01 1.66946294e-01 1.84873484e-01
  5.78277407e-01 8.13965184e-01 1.00000000e+00 5.20560213e-01
  3.20317258e-01 6.97610962e-01 8.29585410e-01 9.40559979e-01
  3.43189216e-01 6.27296783e-01 7.84699718e-01 8.82649396e-01]
 [1.63811368e-01 1.00000000e+00 7.75548287e-01 0.00000000e+00
  3.79974516e-02 2.06351506e-01 6.85428891e-01 3.29125701e-01
  3.47451869e-01 2.91578432e-02 3.32001616e-02 1.00000000e+00
  5.08037642e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
  5.78869242e-01 0.00000000e+00 2.69723737e-01 0.00000000e+00]
 [0.00000000e+00 7.85880749e-01 1.00000000e+00 1.77772113e-01
  0.00000000e+00 0.00000000e+00 7.15420399e-01 7.14881208e-03
  4.07819146e-01 0.00000000e+00 1.82272981e-01 7.06484202e-01
  1.00000000e+00 4.03377528e-01 2.31399516e-01 1.62027066e-01
  7.07719205e-01 6.84548643e-02 5.37242335e-01 1.96343297e-01]
 [5.52832670e-01 0.00000000e+00 1.38094979e-01 1.00000000e+00
  4.14078628e-01 5.00915586e-01 1.67835766e-01 3.65307408e-01
  6.97732314e-01 5.41531866e-01 3.90226508e-01 0.00000000e+00
  0.00000000e+00 1.00000000e+00 5.46098479e-01 4.55132569e-01
  0.00000000e+00 2.99280303e-01 5.65091458e-01 5.27739192e-01]
 [7.50575880e-01 1.65982461e-01 9.12044941e-02 4.92029749e-01
  1.00000000e+00 8.10505080e-01 5.03788625e-01 0.00000000e+00
  2.02484857e-01 9.07897534e-01 7.77981095e-01 3.53928352e-01
  1.67696484e-01 7.06747096e-01 1.00000000e+00 8.61006869e-01
  5.13125626e-01 5.29872965e-01 4.49338307e-01 9.64464386e-01]
 [8.99762601e-01 2.46808625e-01 5.18036143e-03 5.26356972e-01
  7.92567942e-01 1.00000000e+00 3.12629294e-01 9.97700555e-02
  4.00153024e-01 8.23764502e-01 9.45587514e-01 5.46040493e-01
  3.62401188e-01 7.52652250e-01 9.02337066e-01 1.00000000e+00
  5.01389633e-01 7.54356385e-01 7.12828872e-01 9.16672551e-01]
 [9.95855056e-02 6.75644624e-01 6.92409270e-01 1.41952532e-01
  4.09839628e-01 2.53179645e-01 1.00000000e+00 5.87328599e-02
  0.00000000e+00 3.23346715e-01 0.00000000e+00 6.82038754e-01
  6.30122511e-01 2.44982136e-01 4.31024638e-01 1.70719572e-01
  1.00000000e+00 6.15353063e-02 0.00000000e+00 3.39764997e-01]
 [3.56201529e-01 4.94525960e-01 2.15832051e-01 5.21787276e-01
  1.30921987e-01 2.85283137e-01 3.12190220e-01 1.00000000e+00
  6.63239746e-01 3.33974483e-01 7.44111086e-01 6.59524527e-01
  4.68393691e-01 7.61422130e-01 7.52246171e-01 8.15764127e-01
  5.76799139e-01 1.00000000e+00 7.35919550e-01 7.62845400e-01]
 [5.44176885e-01 3.27155327e-01 3.59935355e-01 6.88330725e-01
  5.14892748e-02 3.48273169e-01 0.00000000e+00 5.39143814e-01
  1.00000000e+00 3.38457019e-01 7.01896972e-01 4.98574431e-01
  4.67434162e-01 7.01381143e-01 4.14774187e-01 5.65646875e-01
  9.05851034e-02 4.67438569e-01 1.00000000e+00 5.21797072e-01]
 [8.14053934e-01 7.42916439e-02 4.77060072e-04 5.62845742e-01
  8.98702636e-01 8.22931297e-01 3.74266389e-01 1.57133655e-01
  3.88239609e-01 1.00000000e+00 8.40577742e-01 3.26308403e-01
  9.25303815e-02 6.81841862e-01 9.62945217e-01 8.76339185e-01
  4.10881789e-01 5.30747223e-01 5.30804249e-01 1.00000000e+00]]"
