fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,10.0,5.1020408163265305,0.1,0.0,69.5102767944336
2,16.44,100.0,90.2,0.0,69.42369842529297
3,16.17,0.0,0.0,0.0,69.3670883178711
4,15.25,98.9795918367347,60.8,2.376328468322754,69.32728576660156
5,19.24,0.0,0.0,0.0,69.25502014160156
6,15.64,0.0,0.0,2.2108583450317383,69.20635986328125
7,16.19,91.83673469387755,64.2,0.0,69.16321563720703
8,19.37,0.0,0.0,0.0,69.1177978515625
9,16.65,63.775510204081634,1.9,2.4059102535247803,69.07984924316406
10,18.43,0.0,0.0,0.0,69.03240966796875
11,17.72,0.0,0.0,0.0,69.00239562988281
12,18.03,0.0,0.0,0.0,68.95879364013672
13,21.5,90.81632653061224,20.2,2.7559218406677246,68.92195129394531
14,18.53,61.224489795918366,1.3,0.0,68.87731170654297
15,19.18,0.0,0.0,0.0,68.84259033203125
16,18.97,76.0204081632653,2.7,3.1514663696289062,68.82137298583984
17,24.7,79.59183673469387,2.2,0.0,68.78767395019531
18,29.88,95.91836734693878,6.5,0.0,68.75643157958984
19,25.04,78.57142857142857,1.1,0.0,68.7420425415039
20,29.08,90.3061224489796,10.4,0.0,68.71218872070312
21,29.11,79.59183673469387,15.2,0.0,68.69461059570312
22,32.42,81.12244897959184,3.7,0.0,68.65750122070312
23,28.17,90.3061224489796,4.9,3.8216893672943115,68.65006256103516
24,34.77,98.46938775510205,22.7,4.152266502380371,68.650146484375
25,35.62,56.12244897959184,0.5,0.0,68.6700210571289
26,31.48,76.53061224489795,2.8,0.0,68.64210510253906
27,37.28,77.04081632653062,15.8,0.0,68.62312316894531
28,38.18,88.77551020408163,10.7,4.572375297546387,68.63538360595703
29,40.74,92.34693877551021,31.7,0.0,68.64591217041016
30,38.55,84.18367346938776,12.7,0.0,68.66656494140625
31,41.31,90.3061224489796,27.6,0.0,68.65977478027344
32,40.18,87.75510204081633,21.1,0.0,68.66007995605469
33,43.74,95.40816326530613,46.8,0.0,68.6943130493164
34,43.68,86.22448979591837,19.3,0.0,68.73471069335938
35,42.96,91.3265306122449,34.2,0.0,68.76298522949219
36,44.52,93.36734693877551,37.0,6.234561443328857,68.79602813720703
37,41.87,93.87755102040816,29.6,5.552084922790527,68.81011962890625
38,41.18,79.08163265306122,4.2,0.0,68.8358154296875
39,44.86,93.36734693877551,57.2,0.0,68.83690643310547
40,45.49,90.3061224489796,24.2,0.0,68.86834716796875
41,46.36,89.79591836734694,43.6,5.808342456817627,68.89581298828125
42,45.3,90.3061224489796,47.7,5.473361492156982,68.91569519042969
43,47.35,96.42857142857143,52.5,0.0,68.95470428466797
44,46.73,83.6734693877551,41.2,0.0,69.00634002685547
45,47.56,96.42857142857143,62.4,5.302894592285156,68.99901580810547
46,45.44,92.34693877551021,29.1,0.0,69.04012298583984
